tweet_id,created_at,retweet_count,favorite_count,full_text,truncated,expanded_urls
892420643555336193,Tue Aug 01 16:23:56 +0000 2017,7712,36228,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,False,https://twitter.com/dog_rates/status/892420643555336193/photo/1
892177421306343426,Tue Aug 01 00:17:27 +0000 2017,5699,31247,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",False,https://twitter.com/dog_rates/status/892177421306343426/photo/1
891815181378084864,Mon Jul 31 00:18:03 +0000 2017,3777,23521,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,False,https://twitter.com/dog_rates/status/891815181378084864/photo/1
891689557279858688,Sun Jul 30 15:58:51 +0000 2017,7874,39529,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,False,https://twitter.com/dog_rates/status/891689557279858688/photo/1
891327558926688256,Sat Jul 29 16:00:24 +0000 2017,8483,37733,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",False,https://twitter.com/dog_rates/status/891327558926688256/photo/1
891087950875897856,Sat Jul 29 00:08:17 +0000 2017,2844,19004,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,False,https://twitter.com/dog_rates/status/891087950875897856/photo/1
890971913173991426,Fri Jul 28 16:27:12 +0000 2017,1849,11072,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",False,https://twitter.com/dog_rates/status/890971913173991426/photo/1
890729181411237888,Fri Jul 28 00:22:40 +0000 2017,17202,61045,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,False,https://twitter.com/dog_rates/status/890729181411237888/photo/1
890609185150312448,Thu Jul 27 16:25:51 +0000 2017,3914,26167,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,False,https://twitter.com/dog_rates/status/890609185150312448/photo/1
890240255349198849,Wed Jul 26 15:59:51 +0000 2017,6698,29908,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,False,https://twitter.com/dog_rates/status/890240255349198849/photo/1
890006608113172480,Wed Jul 26 00:31:25 +0000 2017,6679,28783,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,False,https://twitter.com/dog_rates/status/890006608113172480/photo/1
889880896479866881,Tue Jul 25 16:11:53 +0000 2017,4551,26188,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,False,https://twitter.com/dog_rates/status/889880896479866881/photo/1
889665388333682689,Tue Jul 25 01:55:32 +0000 2017,9127,45088,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,False,https://twitter.com/dog_rates/status/889665388333682689/photo/1
889638837579907072,Tue Jul 25 00:10:02 +0000 2017,4092,25382,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,False,https://twitter.com/dog_rates/status/889638837579907072/photo/1
889531135344209921,Mon Jul 24 17:02:04 +0000 2017,2058,14201,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,False,https://twitter.com/dog_rates/status/889531135344209921/photo/1
889278841981685760,Mon Jul 24 00:19:32 +0000 2017,4860,23647,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,False,https://twitter.com/dog_rates/status/889278841981685760/video/1
888917238123831296,Sun Jul 23 00:22:39 +0000 2017,4103,27306,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,False,https://twitter.com/dog_rates/status/888917238123831296/photo/1
888804989199671297,Sat Jul 22 16:56:37 +0000 2017,3872,24003,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,False,https://twitter.com/dog_rates/status/888804989199671297/photo/1
888554962724278272,Sat Jul 22 00:23:06 +0000 2017,3177,18530,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,False,https://twitter.com/dog_rates/status/888554962724278272/photo/1
888078434458587136,Thu Jul 20 16:49:33 +0000 2017,3161,20441,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,False,https://twitter.com/dog_rates/status/888078434458587136/photo/1
887705289381826560,Wed Jul 19 16:06:48 +0000 2017,4912,28386,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,False,https://twitter.com/dog_rates/status/887705289381826560/photo/1
887517139158093824,Wed Jul 19 03:39:09 +0000 2017,10744,43525,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,False,https://twitter.com/dog_rates/status/887517139158093824/video/1
